Year Opened,state,county,county_id,Number_of_Stations,id
2016,Minnesota,Olmsted County,27109,1,27109
2016,Minnesota,Ramsey County,27123,7,27123
2016,Minnesota,Washington County,27163,2,27163
2016,Missouri,Cass County,29037,3,29037
2016,Missouri,Clay County,29047,2,29047
2016,Missouri,Greene County,29077,1,29077
2016,Missouri,Henry County,29083,1,29083
2016,Missouri,Jackson County,29095,28,29095
2016,Missouri,Jasper County,29097,2,29097
2016,Missouri,Lafayette County,29107,3,29107
2016,Missouri,Phelps County,29161,1,29161
2016,Missouri,Platte County,29165,1,29165
2016,Missouri,Pulaski County,29169,2,29169
2016,Missouri,Scott County,29201,1,29201
2016,Missouri,St. Louis County,29189,1,29189
2016,Missouri,Taney County,29213,2,29213
2016,Mississippi,Adams County,28001,1,28001
2016,Mississippi,DeSoto County,28033,1,28033
2016,Mississippi,Forrest County,28035,1,28035
2016,Mississippi,Hancock County,28045,1,28045
2016,Mississippi,Harrison County,28047,1,28047
2016,Mississippi,Lafayette County,28071,1,28071
2016,Mississippi,Lauderdale County,28075,1,28075
2016,Mississippi,Rankin County,28121,1,28121
2016,Montana,Carbon County,30009,2,30009
2016,Montana,Flathead County,30029,2,30029
2016,Montana,Gallatin County,30031,1,30031
2016,Montana,Granite County,30039,1,30039
2016,Montana,Park County,30067,1,30067
2016,Montana,Yellowstone County,30111,2,30111
2016,North Carolina,Brunswick County,37019,1,37019
2016,North Carolina,Buncombe County,37021,5,37021
2016,North Carolina,Caldwell County,37027,1,37027
2016,North Carolina,Carteret County,37031,2,37031
2016,North Carolina,Craven County,37049,2,37049
2016,North Carolina,Dare County,37055,1,37055
2016,North Carolina,Durham County,37063,2,37063
2016,North Carolina,Forsyth County,37067,1,37067
2016,North Carolina,Graham County,37075,1,37075
2016,North Carolina,Guilford County,37081,1,37081
2016,North Carolina,Halifax County,37083,2,37083
2016,North Carolina,Jackson County,37099,1,37099
2016,North Carolina,Mecklenburg County,37119,12,37119
2016,North Carolina,Moore County,37125,1,37125
2016,North Carolina,Orange County,37135,1,37135
2016,North Carolina,Polk County,37149,1,37149
2016,North Carolina,Swain County,37173,1,37173
2016,North Carolina,Transylvania County,37175,1,37175
2016,North Carolina,Wake County,37183,3,37183
2016,North Carolina,Watauga County,37189,4,37189
2016,Nebraska,Dawson County,31047,2,31047
2016,Nebraska,Dixon County,31051,1,31051
2016,Nebraska,Douglas County,31055,2,31055
2016,Nebraska,Lancaster County,31109,9,31109
2016,Nebraska,Sarpy County,31153,2,31153
2016,New Hampshire,Belknap County,33001,1,33001
2016,New Hampshire,Carroll County,33003,1,33003
2016,New Hampshire,Coos County,33007,1,33007
2016,New Hampshire,Grafton County,33009,4,33009
2016,New Hampshire,Hillsborough County,33011,2,33011
2016,New Hampshire,Merrimack County,33013,2,33013
2016,New Hampshire,Rockingham County,33015,4,33015
2016,New Hampshire,Strafford County,33017,2,33017
2016,New Jersey,Atlantic County,34001,3,34001
2016,New Jersey,Bergen County,34003,3,34003
2016,New Jersey,Cape May County,34009,1,34009
2016,New Jersey,Essex County,34013,2,34013
2016,New Jersey,Gloucester County,34015,1,34015
2016,New Jersey,Hudson County,34017,4,34017
2016,New Jersey,Hunterdon County,34019,3,34019
2016,New Jersey,Mercer County,34021,3,34021
2016,New Jersey,Middlesex County,34023,2,34023
2016,New Jersey,Monmouth County,34025,1,34025
2016,New Jersey,Morris County,34027,2,34027
2016,New Jersey,Union County,34039,4,34039
2016,New Mexico,Bernalillo County,35001,3,35001
2016,New Mexico,Quay County,35037,1,35037
2016,New Mexico,Santa Fe County,35049,3,35049
2016,New Mexico,Taos County,35055,1,35055
2016,Nevada,Churchill County,32001,1,32001
2016,Nevada,Clark County,32003,9,32003
2016,Nevada,Douglas County,32005,1,32005
2016,Nevada,Mineral County,32021,1,32021
2016,Nevada,Nye County,32023,2,32023
2016,Nevada,Washoe County,32031,4,32031
2016,New York,Albany County,36001,2,36001
2016,New York,Clinton County,36019,1,36019
2016,New York,Cortland County,36023,1,36023
2016,New York,Dutchess County,36027,1,36027
2016,New York,Erie County,36029,1,36029
2016,New York,Greene County,36039,1,36039
2016,New York,Jefferson County,36045,2,36045
2016,New York,Kings County,36047,4,36047
