Year Opened,state,county,county_id,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,Power_Capacity_Level3_kW,Power_Capacity_Level1_kW,Power_Capacity_Level2_kW,Power_Capacity_kW,All_Ports,id
2021,California,San Mateo County,6081,56.0,20.0,1355.0,11200.0,20.0,17615.0,28835.0,1431.0,6081
2014,California,Los Angeles County,6037,16.0,19.0,668.0,3200.0,19.0,8684.0,11903.0,703.0,6037
2014,California,Santa Clara County,6085,2.0,19.0,173.0,400.0,19.0,2249.0,2668.0,194.0,6085
2021,Texas,Harris County,48201,34.0,18.0,243.0,6800.0,18.0,3159.0,9977.0,295.0,48201
2010,Colorado,Adams County,8001,1.0,18.0,9.0,200.0,18.0,117.0,335.0,28.0,8001
2014,Georgia,Clayton County,13063,0.0,17.0,0.0,0.0,17.0,0.0,17.0,17.0,13063
2021,Colorado,Jefferson County,8059,0.0,17.0,104.0,0.0,17.0,1352.0,1369.0,121.0,8059
2014,California,San Mateo County,6081,0.0,16.0,29.0,0.0,16.0,377.0,393.0,45.0,6081
2014,California,Sacramento County,6067,1.0,15.0,27.0,200.0,15.0,351.0,566.0,43.0,6067
2016,Florida,Hillsborough County,12057,0.0,15.0,24.0,0.0,15.0,312.0,327.0,39.0,12057
2019,Florida,Escambia County,12033,4.0,15.0,0.0,800.0,15.0,0.0,815.0,19.0,12033
2021,Hawaii,Honolulu County,15003,7.0,14.0,104.0,1400.0,14.0,1352.0,2766.0,125.0,15003
2013,Florida,Broward County,12011,0.0,14.0,4.0,0.0,14.0,52.0,66.0,18.0,12011
2021,California,San Diego County,6073,141.0,14.0,833.0,28200.0,14.0,10829.0,39043.0,988.0,6073
2018,District Of Columbia,District of Columbia,11001,0.0,13.0,100.0,0.0,13.0,1300.0,1313.0,113.0,11001
2019,Louisiana,Plaquemines Parish,22075,0.0,13.0,0.0,0.0,13.0,0.0,13.0,13.0,22075
2008,California,Yolo County,6113,0.0,13.0,47.0,0.0,13.0,611.0,624.0,60.0,6113
2021,California,Sacramento County,6067,119.0,12.0,439.0,23800.0,12.0,5707.0,29519.0,570.0,6067
2019,Pennsylvania,Philadelphia County,42101,8.0,12.0,25.0,1600.0,12.0,325.0,1937.0,45.0,42101
2013,California,Los Angeles County,6037,0.0,12.0,154.0,0.0,12.0,2002.0,2014.0,166.0,6037
2021,Mississippi,Hancock County,28045,1.0,12.0,2.0,200.0,12.0,26.0,238.0,15.0,28045
2019,California,Sacramento County,6067,10.0,12.0,60.0,2000.0,12.0,780.0,2792.0,82.0,6067
2021,Virginia,Hampton city,51650,0.0,12.0,4.0,0.0,12.0,52.0,64.0,16.0,51650
2021,Georgia,Lowndes County,13185,0.0,12.0,2.0,0.0,12.0,26.0,38.0,14.0,13185
2021,Minnesota,Mille Lacs County,27095,0.0,12.0,6.0,0.0,12.0,78.0,90.0,18.0,27095
2016,Oregon,Marion County,41047,1.0,12.0,11.0,200.0,12.0,143.0,355.0,24.0,41047
2017,Colorado,Denver County,8031,1.0,11.0,25.0,200.0,11.0,325.0,536.0,37.0,8031
2014,Massachusetts,Worcester County,25027,0.0,11.0,6.0,0.0,11.0,78.0,89.0,17.0,25027
2021,Utah,Salt Lake County,49035,36.0,11.0,379.0,7200.0,11.0,4927.0,12138.0,426.0,49035
2021,California,San Bernardino County,6071,74.0,11.0,209.0,14800.0,11.0,2717.0,17528.0,294.0,6071
2021,Alabama,Montgomery County,1101,12.0,11.0,2.0,2400.0,11.0,26.0,2437.0,25.0,1101
2014,California,Merced County,6047,2.0,10.0,1.0,400.0,10.0,13.0,423.0,13.0,6047
2019,Texas,Nueces County,48355,0.0,10.0,2.0,0.0,10.0,26.0,36.0,12.0,48355
2023,Washington,Pierce County,53053,28.0,10.0,70.0,5600.0,10.0,910.0,6520.0,108.0,53053
2021,Kansas,Bourbon County,20011,0.0,10.0,0.0,0.0,10.0,0.0,10.0,10.0,20011
2010,Oregon,Lane County,41039,0.0,10.0,10.0,0.0,10.0,130.0,140.0,20.0,41039
2019,Maryland,Anne Arundel County,24003,25.0,10.0,20.0,5000.0,10.0,260.0,5270.0,55.0,24003
2013,Washington,Chelan County,53007,0.0,10.0,0.0,0.0,10.0,0.0,10.0,10.0,53007
2021,Illinois,Sangamon County,17167,0.0,10.0,2.0,0.0,10.0,26.0,36.0,12.0,17167
2021,Oregon,Douglas County,41019,8.0,10.0,9.0,1600.0,10.0,117.0,1727.0,27.0,41019
