SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,RBIRTH2021,RBIRTH2022,RBIRTH2023,RDEATH2021,RDEATH2022,RDEATH2023,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RNETMIG2021,RNETMIG2022,RNETMIG2023
50,3,5,37,169,North Carolina,Stokes County,44524,44572,44625,45136,45532,48,53,511,396,112,383,423,421,152,711,709,675,-40,-328,-286,-254,1,8,-6,-5,81,361,796,656,82,369,790,651,6,12,7,-1,628,628,629,624,624,8.587732771,9.425028687,9.286628138,15.94224021,15.79750671,14.88948692,-7.354507439,-6.372478025,-5.602858781,0.17937823,-0.13368835,-0.110292496,8.094442638,17.73598779,14.47037544,8.273820868,17.60229944,14.36008294
50,3,5,37,171,North Carolina,Surry County,71367,71373,71257,71482,71462,6,-116,225,-20,168,725,744,737,229,1137,1150,1053,-61,-412,-406,-316,0,16,18,40,47,236,631,254,47,252,649,294,20,44,-18,2,964,964,947,955,955,10.1661642,10.42462116,10.31173047,15.94334993,16.11332572,14.73304231,-5.777185725,-5.688704559,-4.421311842,0.224356727,0.252208577,0.559659727,3.309261726,8.841311765,3.553839266,3.533618453,9.093520341,4.113498993
50,3,5,37,173,North Carolina,Swain County,14117,14103,14128,13936,13916,-14,25,-192,-20,40,149,169,166,47,272,258,254,-7,-123,-89,-88,0,5,15,25,-11,139,-110,42,-11,144,-95,67,4,4,-8,1,392,392,379,368,369,10.55577202,12.04389966,11.92014936,19.26959725,18.38654504,18.23926469,-8.713825228,-6.342645382,-6.319115324,0.354220538,1.068985177,1.795203217,9.847330948,-7.839224629,3.015941405,10.20155149,-6.770239453,4.811144622
50,3,5,37,175,North Carolina,Transylvania County,32984,33048,33272,33373,33549,64,224,101,176,57,240,250,245,104,503,510,483,-47,-263,-260,-238,0,7,33,48,123,490,317,363,123,497,350,411,-12,-10,11,3,851,851,869,862,863,7.237635706,7.502438292,7.321956905,15.16887817,15.30497412,14.43471504,-7.931242461,-7.802535824,-7.112758136,0.211097708,0.990321855,1.434505843,14.77683957,9.513091755,10.84845044,14.98793727,10.50341361,12.28295628
50,3,5,37,177,North Carolina,Tyrrell County,3249,3241,3379,3473,3461,-8,138,94,-12,11,30,42,40,14,49,50,49,-3,-19,-8,-9,0,1,3,3,-5,166,91,-7,-5,167,94,-4,0,-10,8,1,4,4,117,213,213,9.063444109,12.2591944,11.53735218,14.80362538,14.59427904,14.13325642,-5.740181269,-2.335084647,-2.59590424,0.302114804,0.875656743,0.865301413,50.1510574,26.56158786,-2.019036631,50.45317221,27.4372446,-1.153735218
50,3,5,37,179,North Carolina,Union County,238234,239470,244259,249172,256452,1236,4789,4913,7280,573,2387,2528,2512,380,1862,1975,1806,193,525,553,706,1,171,515,613,1018,4083,3898,6010,1019,4254,4413,6623,24,10,-53,-49,2900,2896,2858,2951,2955,9.869162279,10.2466201,9.936237204,7.698525414,8.005171949,7.143648245,2.170636865,2.241448146,2.792588959,0.707007436,2.087424584,2.424726674,16.88135299,15.79957481,23.77260573,17.58836043,17.8869994,26.19733241
50,3,5,37,181,North Carolina,Vance County,42569,42540,42101,42154,42301,-29,-439,53,147,135,517,538,522,178,659,653,631,-43,-142,-115,-109,1,45,124,140,2,-351,71,116,3,-306,195,256,11,9,-27,0,476,476,429,447,449,12.21630179,12.77075545,12.36161269,15.57164967,15.50056377,14.94286898,-3.355347881,-2.72980832,-2.58125629,1.063314469,2.943445493,3.315375052,-8.293852861,1.685359919,2.747025043,-7.230538392,4.628805412,6.062400095
50,3,5,37,183,North Carolina,Wake County,1129352,1130483,1152301,1170778,1190275,1131,21818,18477,19497,3042,12740,13249,13218,1553,7019,7203,6484,1489,5721,6046,6734,145,1959,4916,5326,-571,14051,7974,7401,-426,16010,12890,12727,68,87,-459,36,21152,17339,20106,16492,16504,11.16180944,11.40641364,11.1966991,6.14950867,6.201252734,5.492464591,5.01230077,5.205160909,5.704234509,1.716325329,4.232314097,4.511546331,12.31040694,6.865026975,6.26923665,14.02673227,11.09734107,10.78078298
50,3,5,37,185,North Carolina,Warren County,18639,18596,18798,18677,18836,-43,202,-121,159,45,165,173,175,85,307,312,303,-40,-142,-139,-128,0,1,12,17,-6,353,16,272,-6,354,28,289,3,-10,-10,-2,892,892,912,852,854,8.824945178,9.232821881,9.330098899,16.41974648,16.65110073,16.15439981,-7.594801305,-7.418278853,-6.824300909,0.053484516,0.640426951,0.906352465,18.88003423,0.853902602,14.50163943,18.93351875,1.494329553,15.4079919
50,3,5,37,187,North Carolina,Washington County,11004,10980,10883,10776,10713,-24,-97,-107,-63,41,95,110,111,45,219,211,194,-4,-124,-101,-83,0,0,6,6,-18,23,-8,13,-18,23,-2,19,-2,4,-4,1,167,167,167,153,155,8.690481636,10.15744033,10.33086696,20.03384714,19.48381735,18.05574945,-11.3433655,-9.326377026,-7.724882498,0,0.5540422,0.558425241,2.104011343,-0.738722933,1.209921355,2.104011343,-0.184680733,1.768346596
50,3,5,37,189,North Carolina,Watauga County,54077,54122,54968,55013,54748,45,846,45,-265,70,321,304,306,93,473,462,446,-23,-152,-158,-140,1,21,34,34,52,1002,202,-161,53,1023,236,-127,15,-25,-33,2,6988,6977,7584,7588,7586,5.885049042,5.528227603,5.57575095,8.671738931,8.40145116,8.126748116,-2.786689889,-2.873223557,-2.550997167,0.385003208,0.618288614,0.619527883,18.37015309,3.673361763,-2.933646742,18.75515629,4.291650376,-2.314118858
50,3,5,37,191,North Carolina,Wayne County,117321,117221,116857,117449,118686,-100,-364,592,1237,356,1568,1604,1593,411,1578,1491,1352,-55,-10,113,241,5,60,252,291,-75,-480,303,707,-70,-420,555,998,25,66,-76,-2,3947,3892,3760,3786,3790,13.39724365,13.69149744,13.49228196,13.48268526,12.72694681,11.45107672,-0.085441605,0.96455063,2.041205243,0.51264963,2.151033264,2.464691808,-4.101197037,2.586361425,5.988100028,-3.588547407,4.737394689,8.452791835
50,3,5,37,193,North Carolina,Wilkes County,65973,65916,65826,65791,66013,-57,-90,-35,222,161,671,676,681,231,1046,1060,973,-70,-375,-384,-292,1,35,43,49,0,216,322,467,1,251,365,516,12,34,-16,-2,1049,1049,977,1043,1044,10.18657679,10.27222927,10.33352554,15.8795221,16.10734176,14.76434706,-5.692945302,-5.835112485,-4.430821523,0.531341562,0.653411034,0.743528269,3.279136494,4.892984949,7.086279627,3.810478056,5.546395982,7.829807897
50,3,5,37,195,North Carolina,Wilson County,78789,78804,78241,78306,78970,15,-563,65,664,233,852,887,887,278,1172,1178,1074,-45,-320,-291,-187,0,30,54,61,33,-312,335,789,33,-282,389,850,27,39,-33,1,965,952,884,879,881,10.8503932,11.33206002,11.27953407,14.92565825,15.04979335,13.65751927,-4.075265051,-3.717733332,-2.377985198,0.382056099,0.68988866,0.775706402,-3.973383425,4.279864833,10.03331723,-3.591327327,4.969753493,10.80902363
50,3,5,37,197,North Carolina,Yadkin County,37216,37254,37276,37507,37774,38,22,231,267,111,333,379,381,115,524,543,527,-4,-191,-164,-146,0,8,20,44,35,185,371,371,35,193,391,415,7,20,4,-2,443,443,437,438,438,8.935998927,10.13599347,10.12207596,14.06145176,14.52201704,14.00087672,-5.125452838,-4.386023562,-3.87880076,0.214678653,0.534880922,1.168953654,4.964443848,9.922041106,9.856404671,5.179122501,10.45692203,11.02535832
50,3,5,37,199,North Carolina,Yancey County,18474,18496,18764,18768,18938,22,268,4,170,55,162,174,174,65,291,311,299,-10,-129,-137,-125,0,5,17,26,31,405,122,268,31,410,139,294,1,-13,2,1,127,127,123,121,122,8.695652174,9.272087818,9.229300377,15.61996779,16.57252478,15.8595449,-6.92431562,-7.30043696,-6.630244523,0.268384326,0.905893637,1.379090861,21.73913044,6.501119045,14.21524426,22.00751476,7.407012683,15.59433512
40,2,4,38,0,North Dakota,North Dakota,779079,779563,777982,778912,783926,484,-1581,930,5014,2563,10019,9839,9649,1751,7766,7390,6945,812,2253,2449,2704,29,453,1260,2298,-448,-4008,-2727,-9,-419,-3555,-1467,2289,91,-279,-52,21,26204,26189,27965,28818,28831,12.86511786,12.63926767,12.34804887,9.972103535,9.493260299,8.887677418,2.893014327,3.146007371,3.460371452,0.581684638,1.618607304,2.940803845,-5.146560774,-3.503128665,-0.011517509,-4.564876135,-1.884521361,2.929286337
50,2,4,38,1,North Dakota,Adams County,2208,2195,2169,2133,2163,-13,-26,-36,30,7,25,23,20,11,29,31,28,-4,-4,-8,-8,0,0,0,0,-8,-21,-28,38,-8,-21,-28,38,-1,-1,0,0,63,63,63,63,63,11.45737855,10.69270107,9.310986965,13.29055912,14.41190144,13.03538175,-1.833180568,-3.719200372,-3.724394786,0,0,0,-9.624197984,-13.0172013,17.69087523,-9.624197984,-13.0172013,17.69087523
50,2,4,38,3,North Dakota,Barnes County,10851,10851,10815,10761,10726,0,-36,-54,-35,23,99,86,85,34,173,155,144,-11,-74,-69,-59,0,7,27,45,9,26,-7,-19,9,33,20,26,2,5,-5,-2,524,524,523,515,518,9.138742731,7.971820541,7.911760599,15.96972215,14.36781609,13.40345325,-6.830979415,-6.395995551,-5.491692651,0.646173728,2.502780868,4.188579141,2.400073848,-0.648869114,-1.768511193,3.046247577,1.853911754,2.420067948
50,2,4,38,5,North Dakota,Benson County,5954,5935,5773,5772,5745,-19,-162,-1,-27,28,116,106,104,20,115,97,89,8,1,9,15,0,0,5,7,-27,-157,-11,-50,-27,-157,-6,-43,0,-6,-4,1,48,48,48,48,48,19.81551076,18.36292767,18.06025875,19.64468739,16.80381117,15.45541374,0.170823369,1.559116501,2.604845012,0,0.866175834,1.215594339,-26.81926888,-1.905586834,-8.682816706,-26.81926888,-1.039411,-7.467222367
