Year,State,Total EV registration
2020,Tennessee,12100
2020,Texas,72600
2020,Utah,16400
2020,Vermont,4500
2020,Virginia,31700
2020,Washington,68900
2020,West Virginia,1300
2020,Wisconsin,12200
2020,Wyoming,600
2021,Alabama,8000
2021,Alaska,1800
2021,Arizona,56200
2021,Arkansas,4200
2021,California,878400
2021,Colorado,53100
2021,Connecticut,22500
2021,Delaware,5000
2021,District of Columbia,6200
2021,Florida,127800
2021,Georgia,47600
2021,Hawaii,18700
2021,Idaho,6000
2021,Illinois,54800
2021,Indiana,17900
2021,Iowa,7300
2021,Kansas,7800
2021,Kentucky,7300
2021,Louisiana,5200
2021,Maine,7200
2021,Maryland,42800
2021,Massachusetts,52700
2021,Michigan,34700
2021,Minnesota,23900
2021,Mississippi,2400
2021,Missouri,17200
2021,Montana,2700
2021,Nebraska,4700
2021,Nevada,23700
2021,New Hampshire,7500
2021,New Jersey,66300
2021,New Mexico,7000
2021,New York,96500
2021,North Carolina,38700
2021,North Dakota,800
2021,Ohio,34300
2021,Oklahoma,14000
2021,Oregon,47200
2021,Pennsylvania,44600
2021,Rhode Island,4900
2021,South Carolina,12100
2021,South Dakota,1400
2021,Tennessee,18500
2021,Texas,111500
2021,Utah,24000
2021,Vermont,6600
2021,Virginia,46500
2021,Washington,91100
2021,West Virginia,2000
2021,Wisconsin,17000
2021,Wyoming,900
2022,Alabama,13100
2022,Alaska,2700
2022,Arizona,86200
2022,Arkansas,7600
2022,California,1264700
2022,Colorado,83900
2022,Connecticut,35100
2022,Delaware,8200
2022,District of Columbia,9100
2022,Florida,213800
2022,Georgia,78200
2022,Hawaii,25400
2022,Idaho,9400
2022,Illinois,92600
2022,Indiana,27800
2022,Iowa,11100
2022,Kansas,11900
2022,Kentucky,12000
2022,Louisiana,8800
2022,Maine,10700
2022,Maryland,69000
2022,Massachusetts,79900
2022,Michigan,57400
2022,Minnesota,36200
2022,Mississippi,4000
2022,Missouri,28300
2022,Montana,5000
2022,Nebraska,7500
2022,Nevada,41700
2022,New Hampshire,11800
2022,New Jersey,113800
2022,New Mexico,11000
